County,Candidate,Candidate_Party,Election_day_votes,Early_voting,Absentee_by_mail,Provisional_votes,Total_votes,Election_Year
CABARRUS,Hillary Clinton,DEM,444,0,0,0,444,2016
CABARRUS,Hillary Clinton,DEM,316,0,0,0,316,2016
CABARRUS,Hillary Clinton,DEM,249,0,0,0,249,2016
CABARRUS,Hillary Clinton,DEM,238,0,0,0,238,2016
CABARRUS,Hillary Clinton,DEM,337,0,0,0,337,2016
CABARRUS,Hillary Clinton,DEM,117,0,0,0,117,2016
CABARRUS,Hillary Clinton,DEM,407,0,0,0,407,2016
CABARRUS,Hillary Clinton,DEM,161,0,0,0,161,2016
CABARRUS,Hillary Clinton,DEM,65,0,0,0,65,2016
CABARRUS,Hillary Clinton,DEM,0,0,0,0,0,2016
CABARRUS,Hillary Clinton,DEM,182,0,0,0,182,2016
CABARRUS,Hillary Clinton,DEM,283,0,0,0,283,2016
CABARRUS,Hillary Clinton,DEM,216,0,0,0,216,2016
CABARRUS,Hillary Clinton,DEM,539,0,0,0,539,2016
CABARRUS,Hillary Clinton,DEM,381,0,0,0,381,2016
CABARRUS,Hillary Clinton,DEM,0,3924,0,0,3924,2016
CABARRUS,Hillary Clinton,DEM,0,9043,0,0,9043,2016
CABARRUS,Hillary Clinton,DEM,221,0,0,0,221,2016
CABARRUS,Hillary Clinton,DEM,362,0,0,0,362,2016
CABARRUS,Jill Stein (Write-In),NA,6,0,0,0,6,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,5,0,0,0,5,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,3,0,0,0,3,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,0,0,0,2016
CABARRUS,Jill Stein (Write-In),NA,7,0,0,0,7,2016
CABARRUS,Jill Stein (Write-In),NA,5,0,0,0,5,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,1,0,0,0,1,2016
CABARRUS,Jill Stein (Write-In),NA,9,0,0,0,9,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,0,4,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,0,3,0,0,3,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,10,0,0,0,10,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,0,0,0,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,1,0,0,0,1,2016
CABARRUS,Jill Stein (Write-In),NA,10,0,0,0,10,2016
CABARRUS,Jill Stein (Write-In),NA,6,0,0,0,6,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,0,0,0,2016
CABARRUS,Jill Stein (Write-In),NA,1,0,0,0,1,2016
CABARRUS,Jill Stein (Write-In),NA,7,0,0,0,7,2016
CABARRUS,Jill Stein (Write-In),NA,9,0,0,0,9,2016
CABARRUS,Jill Stein (Write-In),NA,1,0,0,0,1,2016
CABARRUS,Jill Stein (Write-In),NA,3,0,0,0,3,2016
CABARRUS,Jill Stein (Write-In),NA,0,4,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,5,0,0,0,5,2016
CABARRUS,Jill Stein (Write-In),NA,3,0,0,0,3,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,9,0,0,0,9,2016
CABARRUS,Jill Stein (Write-In),NA,5,0,0,0,5,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,0,2,2,2016
CABARRUS,Jill Stein (Write-In),NA,0,4,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,1,0,0,0,1,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,0,0,0,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,3,0,3,2016
CABARRUS,Jill Stein (Write-In),NA,3,0,0,0,3,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,0,0,0,0,0,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,4,0,0,0,4,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Jill Stein (Write-In),NA,2,0,0,0,2,2016
CABARRUS,Write-In (Miscellaneous),NA,10,0,0,0,10,2016
CABARRUS,Write-In (Miscellaneous),NA,10,0,0,0,10,2016
CABARRUS,Write-In (Miscellaneous),NA,11,0,0,0,11,2016
CABARRUS,Write-In (Miscellaneous),NA,0,95,0,0,95,2016
CABARRUS,Write-In (Miscellaneous),NA,10,0,0,0,10,2016
CABARRUS,Write-In (Miscellaneous),NA,5,0,0,0,5,2016
CABARRUS,Write-In (Miscellaneous),NA,0,0,0,9,9,2016
CABARRUS,Write-In (Miscellaneous),NA,2,0,0,0,2,2016
CABARRUS,Write-In (Miscellaneous),NA,15,0,0,0,15,2016
CABARRUS,Write-In (Miscellaneous),NA,21,0,0,0,21,2016
CABARRUS,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
CABARRUS,Write-In (Miscellaneous),NA,9,0,0,0,9,2016
CABARRUS,Write-In (Miscellaneous),NA,4,0,0,0,4,2016
CABARRUS,Write-In (Miscellaneous),NA,2,0,0,0,2,2016
CABARRUS,Write-In (Miscellaneous),NA,6,0,0,0,6,2016
CABARRUS,Write-In (Miscellaneous),NA,32,0,0,0,32,2016
CABARRUS,Write-In (Miscellaneous),NA,0,0,65,0,65,2016
CABARRUS,Write-In (Miscellaneous),NA,8,0,0,0,8,2016
CABARRUS,Write-In (Miscellaneous),NA,16,0,0,0,16,2016
CABARRUS,Write-In (Miscellaneous),NA,9,0,0,0,9,2016
CABARRUS,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
CABARRUS,Write-In (Miscellaneous),NA,5,0,0,0,5,2016
CABARRUS,Write-In (Miscellaneous),NA,14,0,0,0,14,2016
CABARRUS,Write-In (Miscellaneous),NA,26,0,0,0,26,2016
CABARRUS,Write-In (Miscellaneous),NA,12,0,0,0,12,2016
CABARRUS,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
CABARRUS,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
CABARRUS,Write-In (Miscellaneous),NA,4,0,0,0,4,2016
CABARRUS,Write-In (Miscellaneous),NA,10,0,0,0,10,2016
CABARRUS,Write-In (Miscellaneous),NA,10,0,0,0,10,2016
CABARRUS,Write-In (Miscellaneous),NA,12,0,0,0,12,2016
CABARRUS,Write-In (Miscellaneous),NA,10,0,0,0,10,2016
CABARRUS,Write-In (Miscellaneous),NA,7,0,0,0,7,2016
CABARRUS,Write-In (Miscellaneous),NA,26,0,0,0,26,2016
CABARRUS,Write-In (Miscellaneous),NA,13,0,0,0,13,2016
CABARRUS,Write-In (Miscellaneous),NA,13,0,0,0,13,2016
CABARRUS,Write-In (Miscellaneous),NA,9,0,0,0,9,2016
CABARRUS,Write-In (Miscellaneous),NA,9,0,0,0,9,2016
BUNCOMBE,Donald J. Trump,REP,321,0,60,2,383,2016
BUNCOMBE,Donald J. Trump,REP,360,0,40,8,408,2016
BUNCOMBE,Donald J. Trump,REP,0,1515,0,0,1515,2016
BUNCOMBE,Donald J. Trump,REP,195,0,22,0,217,2016
BUNCOMBE,Donald J. Trump,REP,434,0,55,8,497,2016
BUNCOMBE,Donald J. Trump,REP,0,3762,0,0,3762,2016
BUNCOMBE,Donald J. Trump,REP,0,1865,0,0,1865,2016
BUNCOMBE,Donald J. Trump,REP,263,0,24,6,293,2016
BUNCOMBE,Donald J. Trump,REP,124,0,26,1,151,2016
BUNCOMBE,Donald J. Trump,REP,19,0,8,1,28,2016
BUNCOMBE,Donald J. Trump,REP,110,0,26,3,139,2016
BUNCOMBE,Donald J. Trump,REP,0,4654,0,0,4654,2016
BUNCOMBE,Donald J. Trump,REP,0,0,0,0,0,2016
BUNCOMBE,Donald J. Trump,REP,274,0,30,1,305,2016
BUNCOMBE,Donald J. Trump,REP,132,0,29,0,161,2016
BUNCOMBE,Donald J. Trump,REP,0,4479,0,0,4479,2016
BUNCOMBE,Donald J. Trump,REP,0,317,0,0,317,2016
BUNCOMBE,Donald J. Trump,REP,135,0,10,1,146,2016
BUNCOMBE,Donald J. Trump,REP,118,0,15,3,136,2016
BUNCOMBE,Donald J. Trump,REP,152,0,24,1,177,2016
BUNCOMBE,Donald J. Trump,REP,389,0,19,5,413,2016
BUNCOMBE,Donald J. Trump,REP,125,0,11,1,137,2016
BUNCOMBE,Donald J. Trump,REP,0,1486,0,0,1486,2016
BUNCOMBE,Donald J. Trump,REP,462,0,40,1,503,2016
BUNCOMBE,Donald J. Trump,REP,258,0,13,4,275,2016
BUNCOMBE,Donald J. Trump,REP,262,0,36,2,300,2016
BUNCOMBE,Donald J. Trump,REP,50,0,8,0,58,2016
BUNCOMBE,Donald J. Trump,REP,0,207,0,0,207,2016
BUNCOMBE,Donald J. Trump,REP,111,0,3,1,115,2016
BUNCOMBE,Donald J. Trump,REP,138,0,9,2,149,2016
BUNCOMBE,Donald J. Trump,REP,156,0,19,4,179,2016
BUNCOMBE,Donald J. Trump,REP,315,0,37,0,352,2016
BUNCOMBE,Donald J. Trump,REP,88,0,6,0,94,2016
BUNCOMBE,Donald J. Trump,REP,213,0,23,2,238,2016
BUNCOMBE,Donald J. Trump,REP,107,0,17,1,125,2016
BUNCOMBE,Donald J. Trump,REP,446,0,46,8,500,2016
BUNCOMBE,Donald J. Trump,REP,91,0,11,4,106,2016
BUNCOMBE,Donald J. Trump,REP,53,0,15,1,69,2016
BUNCOMBE,Donald J. Trump,REP,0,2240,0,0,2240,2016
BUNCOMBE,Donald J. Trump,REP,0,1721,0,0,1721,2016
BUNCOMBE,Donald J. Trump,REP,45,0,6,2,53,2016
BUNCOMBE,Donald J. Trump,REP,237,0,102,6,345,2016
BUNCOMBE,Donald J. Trump,REP,80,0,3,0,83,2016
BUNCOMBE,Donald J. Trump,REP,239,0,50,3,292,2016
BUNCOMBE,Donald J. Trump,REP,149,0,81,1,231,2016
BUNCOMBE,Donald J. Trump,REP,179,0,19,3,201,2016
BUNCOMBE,Donald J. Trump,REP,370,0,37,5,412,2016
BUNCOMBE,Donald J. Trump,REP,0,215,0,0,215,2016
BUNCOMBE,Donald J. Trump,REP,0,738,0,0,738,2016
BUNCOMBE,Donald J. Trump,REP,205,0,25,6,236,2016
BUNCOMBE,Donald J. Trump,REP,22,0,12,0,34,2016
BUNCOMBE,Donald J. Trump,REP,172,0,31,1,204,2016
BUNCOMBE,Donald J. Trump,REP,102,0,9,0,111,2016
BUNCOMBE,Donald J. Trump,REP,47,0,2,0,49,2016
BUNCOMBE,Donald J. Trump,REP,107,0,12,2,121,2016
